,literal,grade,stroke_counts,freq,jlpt,ja_ons,ja_kuns,meanings,example,example_translation
19,見,1.0,7,22,4.0,['ケン'],"['み.る', 'み.える', 'み.せる']","['see', 'hopes', 'chances', 'idea', 'opinion', 'look at', 'visible']",あたりを見まわしたが、何も見えなかった。,"I looked around, but saw nothing."
20,月,1.0,4,23,4.0,"['ゲツ', 'ガツ']",['つき'],"['month', 'moon']",１０月３日です。,It's the third of October.
21,分,2.0,4,24,4.0,"['ブン', 'フン', 'ブ']","['わ.ける', 'わ.け', 'わ.かれる', 'わ.かる', 'わ.かつ']","['part', 'minute of time', 'segment', 'share', 'degree', '""ones lot""', 'duty', 'understand', 'know', 'rate', '1%', 'chances', 'shaku/100']",その電車は３分おきにでています。,Those trains run every three minutes.
22,議,4.0,20,25,2.0,['ギ'],[],"['deliberation', 'consultation', 'debate', 'consideration']",お茶を飲んでから議論を始めた。,"After we had tea, we began the discussion."
23,後,2.0,9,26,4.0,"['ゴ', 'コウ']","['のち', 'うし.ろ', 'うしろ', 'あと', 'おく.れる']","['behind', 'back', 'later']",私は後から行きます。,I'll join you later.
24,前,2.0,9,27,4.0,['ゼン'],"['まえ', '-まえ']","['in front', 'before']",その前に入りますか。,Will I be able to get it before then?
25,民,4.0,5,28,3.0,['ミン'],['たみ'],"['people', 'nation', 'subjects']",民の声は神の声。,The voice of the people is the voice of God.
26,生,1.0,5,29,4.0,"['セイ', 'ショウ']","['い.きる', 'い.かす', 'い.ける', 'う.まれる', 'うま.れる', 'う.まれ', 'うまれ', 'う.む', 'お.う', 'は.える', 'は.やす', 'き', 'なま', 'なま-', 'な.る', 'な.す', 'む.す', '-う']","['life', 'genuine', 'birth']",生の魚はすぐに悪くなってしまいます。,Raw fish easily goes bad.
27,連,4.0,10,30,2.0,['レン'],"['つら.なる', 'つら.ねる', 'つ.れる', '-づ.れ']","['take along', 'lead', 'join', 'connect', 'party', 'gang', 'clique']",重点の置かれた予算項目は教育、社会保障、そのほかの生活関連分野である。,"Budget items that received priority are education, social security and other fields that are closely related to people's lives."
28,五,1.0,4,31,4.0,['ゴ'],"['いつ', 'いつ.つ']",['five'],三に二を足すと五になる。,"Add two to three, and you get five."
29,発,3.0,9,32,3.0,"['ハツ', 'ホツ']","['た.つ', 'あば.く', 'おこ.る', 'つか.わす', 'はな.つ']","['departure', 'discharge', 'publish', 'emit', 'start from', 'disclose', 'counter for gunshots']",４時１０分発の列車に乗りましょう。,Let's take the 4:10 train.
30,間,2.0,12,33,4.0,"['カン', 'ケン']","['あいだ', 'ま', 'あい']","['interval', 'space']",長い間さがしていた本が見つかった。,I found the book I had long been looking for.
31,対,3.0,7,34,2.0,"['タイ', 'ツイ']","['あいて', 'こた.える', 'そろ.い', 'つれあ.い', 'なら.ぶ', 'むか.う']","['vis-a-vis', 'opposite', 'even', 'equal', 'versus', 'anti-', 'compare']",３対１で負けた。,We lost by a score of three to one.
32,上,1.0,3,35,4.0,"['ジョウ', 'ショウ', 'シャン']","['うえ', '-うえ', 'うわ-', 'かみ', 'あ.げる', '-あ.げる', 'あ.がる', '-あ.がる', 'あ.がり', '-あ.がり', 'のぼ.る', 'のぼ.り', 'のぼ.せる', 'のぼ.す', 'たてまつ.る']","['above', 'up']",サリーはケンより２つ上です。,Sally is two years senior to Ken.
33,部,3.0,11,36,2.0,['ブ'],['-べ'],"['section', 'bureau', 'dept', 'class', 'copy', 'part', 'portion', 'counter for copies of a newspaper or magazine']",その小説はほぼ２万部を売った。,The novel has sold almost 20000 copies.
34,東,2.0,8,37,4.0,['トウ'],['ひがし'],['east'],わたしの大学はえきの東にあります。,My university is on the east of the train station.
35,者,3.0,8,38,3.0,['シャ'],['もの'],"['someone', 'person']",知らぬ者がいようか。,Who doesn't know?
36,党,6.0,10,39,2.0,['トウ'],"['なかま', 'むら']","['party', 'faction', 'clique']",党大会は延期された。,The party convention was put off.
37,地,2.0,6,40,3.0,"['チ', 'ジ']",[],"['ground', 'earth']",彼は地に足がついていない。,He doesn't have his feet on the ground.
38,合,2.0,6,41,3.0,"['ゴウ', 'ガッ', 'カッ']","['あ.う', '-あ.う', 'あ.い', 'あい-', '-あ.い', '-あい', 'あ.わす', 'あ.わせる', '-あ.わせる']","['fit', 'suit', 'join', '0.1']",もちろん、実際に「はやぶさ」が太陽に近づいているわけではなく、図のように地球から見て太陽の反対側に位置するだけですが、このような現象を「合」と呼びます。,"Of course ""Hayabusa"" is not actually closing in on the Sun, it is just positioned as in the figure so that, seen from the Earth, it is on the opposite side of the Sun; this is called 'conjunction'."
39,市,2.0,5,42,3.0,['シ'],['いち'],"['market', 'city', 'town']",その市には十分に水が供給されている。,The city is well supplied with water.
40,業,3.0,13,43,3.0,"['ギョウ', 'ゴウ']",['わざ'],"['business', 'vocation', 'arts', 'performance']",過ちは人の常、許すは神の業。,"To err is human, to forgive divine."
41,内,2.0,4,44,2.0,"['ナイ', 'ダイ']",['うち'],"['inside', 'within', 'between', 'among', 'house', 'home']",彼女は内へ入っていきました。,She went inside.
42,相,3.0,9,45,2.0,"['ソウ', 'ショウ']",['あい-'],"['inter-', 'mutual', 'together', 'each other', 'minister of state', 'councillor', 'aspect', 'phase', 'physiognomy']",シップ・アイランドのあたりは、相も変わらぬ森林地帯で、相変わらず住む人とてなかった。,The Ship Island region was as woody and tenantless as ever.
43,方,2.0,4,46,3.0,['ホウ'],"['かた', '-かた', '-がた']","['direction', 'person', 'alternative']",これを信じろって方が無理だな。,You can't ask us to believe this.
44,四,1.0,5,47,4.0,['シ'],"['よ', 'よ.つ', 'よっ.つ', 'よん']",['four'],四かい書いてください。,Write it four times.
45,定,3.0,8,48,2.0,"['テイ', 'ジョウ']","['さだ.める', 'さだ.まる', 'さだ.か']","['determine', 'fix', 'establish', 'decide']",各種の調査では、民間セクターが政策決定にほとんど影響力をもたないことが示されている。,It has been demonstrated in various researches that the private sector has little influence over policy making.
46,今,2.0,4,49,4.0,"['コン', 'キン']",['いま'],['now'],今、行くわ。,I'm coming.
47,回,2.0,6,50,3.0,"['カイ', 'エ']","['まわ.る', '-まわ.る', '-まわ.り', 'まわ.す', '-まわ.す', 'まわ.し-', '-まわ.し', 'もとお.る', 'か.える']","['-times', 'round', 'game', 'revolve', 'counter for occurrences']",私はその映画を５回見た。,I saw the movie five times.
48,新,2.0,13,51,4.0,['シン'],"['あたら.しい', 'あら.た', 'あら-', 'にい-']",['new'],日本では新学期は４月に始まる。,In Japan a new school year starts in April.
49,場,2.0,12,52,3.0,"['ジョウ', 'チョウ']",['ば'],"['location', 'place']",彼はその場で殺された。,He was murdered on the spot.
50,金,1.0,8,53,4.0,"['キン', 'コン', 'ゴン']","['かね', 'かな-', '-がね']",['gold'],彼は金に困っている。,He is hard up for money.
51,員,3.0,10,54,3.0,['イン'],[],"['employee', 'member', 'number', 'the one in charge']",それから、ぞろぞろと定期ではないお客が、――商人風の男や、政党本部へ行く院外団員らしい壮士が威張って出て来る。,"After a while, the non-regular passengers came out, putting on airs as they left the station - men looking like merchants and young braggarts who appeared to be non-parliamentary party members making their way to the political party headquarters."
52,九,1.0,2,55,4.0,"['キュウ', 'ク']","['ここの', 'ここの.つ']",['nine'],九引く六はいくつですか。,How many is nine minus six?
53,入,1.0,2,56,4.0,"['ニュウ', 'ジュ']","['い.る', '-い.る', '-い.り', 'い.れる', '-い.れ', 'はい.る']","['enter', 'insert']",もっとも重要なことは、脳にはこれらの解剖学的組織を結合する全体的な再入経路が必要である。,"Most important of all, the brain needs global reentry pathways connecting these anatomical structures."
54,選,4.0,15,57,2.0,['セン'],"['えら.ぶ', 'え.る', 'よ.る']","['elect', 'select', 'choose', 'prefer']",「日本近代随筆選1：出会いの時」,A Selection of Modern Japanese Essays: When We Meet
55,立,1.0,5,58,4.0,"['リツ', 'リュウ', 'リットル']","['た.つ', '-た.つ', 'た.ち-', 'た.てる', '-た.てる', 'た.て-', 'たて-', '-た.て', '-だ.て', '-だ.てる']","['stand up', 'rise', 'set up', 'erect']",会場は立すいの余地もないほどに聴衆で埋まっていた。,The hall was filled with such a large audience that there wasn't even standing room.
56,開,3.0,12,59,3.0,['カイ'],"['ひら.く', 'ひら.き', '-びら.き', 'ひら.ける', 'あ.く', 'あ.ける']","['open', 'unfold', 'unseal']",「ソフトウェア開発」は「モノ作り」ではない。,"""Software development"" isn't ""manufacture""."
57,手,1.0,4,60,4.0,"['シュ', 'ズ']","['て', 'て-', '-て', 'た-']",['hand'],高すぎて手が出ません。,I can't afford to buy that.
58,米,2.0,6,61,2.0,"['ベイ', 'マイ', 'メエトル']","['こめ', 'よね']","['rice', 'USA', 'metre']",たいていの日本人は米を主食にしている。,Most Japanese live on rice.
59,力,1.0,2,62,3.0,"['リョク', 'リキ', 'リイ']",['ちから'],"['power', 'strength', 'strong', 'strain', 'bear up', 'exert']",人の力を借りることを考えてはいけない。,You should not expect the help of others.
60,学,1.0,8,63,4.0,['ガク'],['まな.ぶ'],"['study', 'learning', 'science']",彼は非常に学がある。,He is very learned.
61,問,3.0,11,64,3.0,['モン'],"['と.う', 'と.い', 'とん']","['question', 'ask', 'problem']",私はその問がたいへんやさしいことを発見した。,I found the question very easy.
62,高,2.0,10,65,4.0,['コウ'],"['たか.い', 'たか', '-だか', 'たか.まる', 'たか.める']","['tall', 'high', 'expensive']",高感度フィルムは出してもいいですか。,Can I unload the high speed film?
63,代,3.0,5,66,3.0,"['ダイ', 'タイ']","['か.わる', 'かわ.る', 'かわ.り', 'か.わり', '-がわ.り', '-が.わり', 'か.える', 'よ', 'しろ']","['substitute', 'change', 'convert', 'replace', 'period', 'age', 'counter for decades of ages', 'eras', 'etc.', 'generation', 'charge', 'rate', 'fee']",父は５０代です。,My father is in his fifties.
64,明,2.0,8,67,3.0,"['メイ', 'ミョウ', 'ミン']","['あ.かり', 'あか.るい', 'あか.るむ', 'あか.らむ', 'あき.らか', 'あ.ける', '-あ.け', 'あ.く', 'あ.くる', 'あ.かす']","['bright', 'light']",ダ・ヴィンチは他の人よりも先見の明があった。,Da Vinci could see farther than others.
65,実,3.0,8,68,2.0,"['ジツ', 'シツ']","['み', 'みの.る', 'まこと', 'みの', 'みち.る']","['reality', 'truth', 'seed', 'fruit', 'nut']",彼は大学へ進まず実業界に入った。,He entered the business world instead of going on to college.
66,円,1.0,4,69,4.0,['エン'],"['まる.い', 'まる', 'まど', 'まど.か', 'まろ.やか']","['circle', 'yen', 'round']",その手紙を送るのに１００円かかった。,It cost me 100 yen to send the letter.
67,関,4.0,14,70,2.0,['カン'],"['せき', '-ぜき', 'かか.わる', 'からくり', 'かんぬき']","['connection', 'barrier', 'gateway', 'involve', 'concerning']",彼は例のスキャンダルと関係があると思う。,I think he has something to do with that scandal.
68,決,3.0,7,71,2.0,['ケツ'],"['き.める', '-ぎ.め', 'き.まる', 'さ.く']","['decide', 'fix', 'agree upon', 'appoint']",えっと、じゃ、決を取りたいと思います。今の小川君の提案に賛成の人、手を上げてください。,"Er, well, I'd like to take a vote. Would people in favour of Mr Ogawa's proposition please raise their hands."
69,子,1.0,3,72,4.0,"['シ', 'ス', 'ツ']","['こ', '-こ', 'ね']","['child', 'sign of the rat', '11PM-1AM', 'first sign of Chinese zodiac']",その子は病気で日曜から入院しています。,That child is sick and has been in the hospital since last Sunday.
70,動,3.0,11,73,3.0,['ドウ'],"['うご.く', 'うご.かす']","['move', 'motion', 'change', 'confusion', 'shift', 'shake']",その少年は運動神経が発達している。,The boy has good reflexes.
71,京,2.0,8,74,3.0,"['キョウ', 'ケイ', 'キン']",['みやこ'],"['capital', '10**16']",ジェーンは京都についてほど奈良について知りません。,Jane doesn't know as much as about Nara as she does about Kyoto.
72,全,3.0,6,75,2.0,['ゼン'],"['まった.く', 'すべ.て']","['whole', 'entire', 'all', 'complete', 'fulfill']",軍部は全領土を占領した。,The armed forces occupied the entire territory.
73,目,1.0,5,76,4.0,"['モク', 'ボク']","['め', '-め', 'ま-']","['eye', 'class', 'look', 'insight', 'experience', 'care', 'favor']",彼女は目が大きいです。,She has big eyes.
74,表,3.0,8,77,2.0,['ヒョウ'],"['おもて', '-おもて', 'あらわ.す', 'あらわ.れる', 'あら.わす']","['surface', 'table', 'chart', 'diagram']",表に出ようか。,Shall we take this outside?
75,戦,4.0,13,78,2.0,['セン'],"['いくさ', 'たたか.う', 'おのの.く', 'そよ.ぐ', 'わなな.く']","['war', 'battle', 'match']",昨日の阪神巨人戦を見たかい。,Did you see the Hanshin Giants game yesterday?
76,経,5.0,11,79,2.0,"['ケイ', 'キョウ', 'キン']","['へ.る', 'た.つ', 'たていと', 'はか.る', 'のり']","['sutra', 'longitude', 'pass thru', 'expire', 'warp']",習わぬ経は読めぬ。,Practice makes perfect (literally: you can't recite a sutra you haven't learned).
77,通,2.0,10,80,3.0,"['ツウ', 'ツ']","['とお.る', 'とお.り', '-とお.り', '-どお.り', 'とお.す', 'とお.し', '-どお.し', 'かよ.う']","['traffic', 'pass through', 'avenue', 'commute', 'counter for letters', 'notes', 'documents', 'etc.']",私は寝る前に手紙を５通書いた。,I wrote five letters before I went to bed.
78,外,2.0,5,81,4.0,"['ガイ', 'ゲ']","['そと', 'ほか', 'はず.す', 'はず.れる', 'と-']",['outside'],外はさむいでしょう。,"It’s cold outside, isn’t it?"
79,最,4.0,12,82,2.0,"['サイ', 'シュ']","['もっと.も', 'つま']","['utmost', 'most', 'extreme']",彼はもちろん村の最長老だ。,He is unquestionably the oldest man in the village.
80,言,2.0,7,83,4.0,"['ゲン', 'ゴン']","['い.う', 'こと']","['say', 'word']",「敢闘言万丈編」,"""Hurrah!"" and Other Words for Fighting Bravely"
81,氏,4.0,4,84,1.0,['シ'],"['うじ', '-うじ']","['family name', 'surname', 'clan']",井伏氏は、仕事をして居られた。,Mr. Ibuse was at work.
82,現,5.0,11,85,2.0,['ゲン'],"['あらわ.れる', 'あらわ.す', 'うつつ', 'うつ.つ']","['present', 'existing', 'actual']",現段階ではその問題についてコメントできません。,"At this point, I'm unable to comment on that problem."
83,理,2.0,11,86,3.0,['リ'],['ことわり'],"['logic', 'arrangement', 'reason', 'justice', 'truth']",彼の言葉は理にかなっているようだ。,His words sound reasonable.
84,調,3.0,15,87,2.0,['チョウ'],"['しら.べる', 'しら.べ', 'ととの.う', 'ととの.える']","['tune', 'tone', 'meter', 'key (music)', 'writing style', 'prepare', 'exorcise', 'investigate', 'harmonize', 'mediate']",私はそれを辞書で調べます。,I will look it up in the dictionary.
85,体,2.0,7,88,3.0,"['タイ', 'テイ']","['からだ', 'かたち']","['body', 'substance', 'object', 'reality', 'counter for images']",この上着は私の体に合わない。,This coat doesn't fit me.
86,化,3.0,4,89,2.0,"['カ', 'ケ']","['ば.ける', 'ば.かす', 'ふ.ける', 'け.する']","['change', 'take the form of', 'influence', 'enchant', 'delude', '-ization']",国鉄分割民営化により、ＪＲ西日本の駅となる。,Ownership passed to the West Japan Railway Company following the division and privatization of Japan National Railways.
87,田,1.0,5,90,3.0,['デン'],['た'],"['rice field', 'rice paddy']",田に水を引かなければなりません。,I need to irrigate the rice field.
88,当,2.0,6,91,2.0,['トウ'],"['あ.たる', 'あ.たり', 'あ.てる', 'あ.て', 'まさ.に', 'まさ.にべし']","['hit', 'right', 'appropriate', 'himself']",当市には大気汚染はありません。,Our city is free from air pollution.
89,八,1.0,2,92,4.0,"['ハチ', 'ハツ']","['や', 'や.つ', 'やっ.つ', 'よう']","['eight', 'eight radical (no. 12)']",私は一か八か彼の挑戦を受けてみた。,I took a chance and accepted his challenge.
90,六,1.0,4,93,4.0,"['ロク', 'リク']","['む', 'む.つ', 'むっ.つ', 'むい']",['six'],十から四を引けば六が残る。,"If you take four from ten, you have six."
91,約,4.0,9,94,2.0,['ヤク'],"['つづ.まる', 'つづ.める', 'つづま.やか']","['promise', 'approximately', 'shrink']",私は約１マイル歩いた。,I walked about a mile.
92,主,3.0,5,95,3.0,"['シュ', 'ス', 'シュウ']","['ぬし', 'おも', 'あるじ']","['lord', 'chief', 'master', 'main thing', 'principal']",すべて主にお返しします。,We must surrender them all.
93,題,3.0,18,96,3.0,['ダイ'],[],"['topic', 'subject']",なぜその題を選んだのか。,Why did you choose that particular subject?
94,下,1.0,3,97,4.0,"['カ', 'ゲ']","['した', 'しも', 'もと', 'さ.げる', 'さ.がる', 'くだ.る', 'くだ.り', 'くだ.す', '-くだ.す', 'くだ.さる', 'お.ろす', 'お.りる']","['below', 'down', 'descend', 'give', 'low', 'inferior']",骨は皮膚の下にある。,Your bones are beneath your skin.
95,首,2.0,9,98,3.0,['シュ'],['くび'],"['neck', 'counter for songs and poems']",首が痛くて回せません。,"I can't turn my neck, because it hurts a lot."
96,意,3.0,13,99,3.0,['イ'],[],"['idea', 'mind', 'heart', 'taste', 'thought', 'desire', 'care', 'liking']",彼は意に反して解雇された。,He was fired against his will.
97,法,4.0,8,100,2.0,"['ホウ', 'ハッ', 'ホッ', 'フラン']",['のり'],"['method', 'law', 'rule', 'principle', 'model', 'system']",彼は法を犯した。,He broke the law.
98,不,4.0,4,101,3.0,"['フ', 'ブ']",[],"['negative', 'non-', 'bad', 'ugly', 'clumsy']",その水は飲むのに不適当だ。,The water is not fit to drink.
99,来,2.0,7,102,4.0,"['ライ', 'タイ']","['く.る', 'きた.る', 'きた.す', 'き.たす', 'き.たる', 'き', 'こ']","['come', 'due', 'next', 'cause', 'become']",車があれば、自由に行ったり来たりできるよ。,"If you have a car, you can come and go at will."
100,作,2.0,7,103,3.0,"['サク', 'サ']","['つく.る', 'つく.り', '-づく.り']","['make', 'production', 'prepare', 'build']",この絵はモネの作とされている。,This painting is attributed to Monet.
101,性,5.0,8,104,2.0,"['セイ', 'ショウ']",['さが'],"['sex', 'gender', 'nature']",この仕組みは機動性に欠ける。,This structure lacks maneuverability.
102,的,4.0,8,105,2.0,['テキ'],['まと'],"['""bulls eye""', 'mark', 'target', 'object', 'adjective ending']",的を外してしまった。,I've missed my aim.
103,要,4.0,9,106,2.0,['ヨウ'],"['い.る', 'かなめ']","['need', 'main point', 'essence', 'pivot', 'key to']",急を要することだから急いでください。,"Please hurry, it's urgent."
104,用,2.0,5,107,3.0,['ヨウ'],['もち.いる'],"['utilize', 'business', 'service', 'use', 'employ']",一体この私に何の用ですか。,What ever do you want with me?
105,制,5.0,8,108,2.0,['セイ'],[],"['system', 'law', 'rule']",私は年俸制で働いているので残業代とかは無いのです。,"I am on an annual salary, so I don't get paid for overtime."
106,治,4.0,8,109,2.0,"['ジ', 'チ']","['おさ.める', 'おさ.まる', 'なお.る', 'なお.す']","['reign', 'be at peace', 'calm down', 'subdue', 'quell', 'govt', 'cure', 'heal', 'rule', 'conserve']",太宰治は３９歳の時に自殺した。,Osamu Dazai killed himself at the age of thirty-nine.
107,度,3.0,9,110,3.0,"['ド', 'ト', 'タク']","['たび', '-た.い']","['degrees', 'occurrence', 'time', 'counter for occurrences', 'consider', 'attitude']",私はそこへ１度行ったことがある。,I've been there once.
108,務,5.0,11,111,2.0,['ム'],['つと.める'],"['task', 'duties']",人は誰でも正気ならば自己の行為について良心に責任を負う義務がある。,Every sane man is accountable to his conscience for his behavior.
109,強,2.0,11,112,3.0,"['キョウ', 'ゴウ']","['つよ.い', 'つよ.まる', 'つよ.める', 'し.いる', 'こわ.い']",['strong'],福島、宮城両県で震度6強を観測する地震が発生した。,An earthquake with intensity 6 has occurred in both Fukushima and Miyagi prefectures.
110,気,1.0,6,113,4.0,"['キ', 'ケ']",['き'],"['spirit', 'mind', 'air', 'atmosphere', 'mood']",気にするな。,Never mind!
111,小,1.0,3,114,4.0,['ショウ'],"['ちい.さい', 'こ-', 'お-', 'さ-']","['little', 'small']",これは使いやすい小箱です。,This is a handy little box.
112,七,1.0,2,115,4.0,['シチ'],"['なな', 'なな.つ', 'なの']",['seven'],七度尋ねて人を疑え。,"Measure twice, cut once (literally: search seven times, then doubt)."
113,成,4.0,6,116,2.0,"['セイ', 'ジョウ']","['な.る', 'な.す', '-な.す']","['turn into', 'become', 'get', 'grow', 'elapse', 'reach']",成歩堂先生の事務所が「エネルギー分野における世界有数の法律事務所」である。,"Mr. Naruhodo's law firm is ""The World's Leading Energy Law Firm""."
114,期,3.0,12,117,2.0,"['キ', 'ゴ']",[],"['period', 'time', 'date', 'term']",「大正期日本外交における中国認識」,Japan’s Recognition of How It Saw China in Early-Taisho-Era Diplomacy
115,公,2.0,4,118,2.0,"['コウ', 'ク']",['おおやけ'],"['public', 'prince', 'official', 'governmental']",その問題は公にしてさばかれるべきだ。,The matter should be tried in public.
116,持,3.0,9,119,3.0,['ジ'],"['も.つ', '-も.ち', 'も.てる']","['hold', 'have']",叔父は膨大な財産を所持している。,My uncle is possessed of great wealth.
117,野,2.0,11,120,3.0,"['ヤ', 'ショ']","['の', 'の-']","['plains', 'field', 'rustic', 'civilian life']",ここに野の花がたくさんある。,Here are wildflowers in abundance.
118,協,4.0,8,121,2.0,['キョウ'],[],"['co-', 'cooperation']",彼は支配人に協力するのを嫌って仕事を辞めた。,"He hated to play ball with his manager, so he quit his job."
119,取,3.0,8,122,2.0,['シュ'],"['と.る', 'と.り', 'と.り-', 'とり', '-ど.り']","['take', 'fetch', 'take up']",彼女は親切の代償として何も受け取らなかった。,She got nothing in reward for her kindness.
120,都,3.0,11,123,3.0,"['ト', 'ツ']",['みやこ'],"['metropolis', 'capital', 'all', 'everything']",住めば都。,Wherever you live is the best place.
121,和,3.0,8,124,2.0,"['ワ', 'オ', 'カ']","['やわ.らぐ', 'やわ.らげる', 'なご.む', 'なご.やか', 'あ.える']","['harmony', 'Japanese style', 'peace', 'soften', 'Japan']",「簡素にして美味：和のレシピ」,Making Good Flavors in Simple Ways: Japanese Recipes
122,統,5.0,12,125,1.0,['トウ'],"['す.べる', 'ほび.る']","['overall', 'relationship', 'ruling', 'governing']",シークレット・サービスは大統領の安全に責任を負わなくてはならない。,The Secret Service has to answer for the safety of the president.
123,以,4.0,5,126,3.0,['イ'],['もっ.て'],"['by means of', 'because', 'in view of', 'compared with']",結果次第では、両社に対して2月以来の行政指導が行われる。,Depending on the results both companies may be put under administrative guidance from February.
124,機,4.0,16,127,2.0,['キ'],['はた'],"['loom', 'mechanism', 'machine', 'airplane', 'opportunity', 'potency', 'efficacy', 'occasion']",本駐輪機は課金装置であり盗難防止用ではありません。,This is a pay-per-use bike-parking machine; it’s not for preventing theft.
125,平,3.0,5,128,2.0,"['ヘイ', 'ビョウ', 'ヒョウ']","['たい.ら', 'たい.らげる', 'ひら']","['even', 'flat', 'peace']",平なべを火からおろしなさい。,Take the pan off the fire.
126,総,5.0,14,129,2.0,['ソウ'],"['す.べて', 'すべ.て', 'ふさ']","['general', 'whole', 'all', 'full', 'total']",総入れ歯にして２年がたちます。,I've had full dentures for two years.
127,加,4.0,5,130,2.0,['カ'],"['くわ.える', 'くわ.わる']","['add', 'addition', 'increase', 'join', 'include', 'Canada']",私は高生加によく会う。,I see much of Takaoka.
128,山,1.0,3,131,4.0,"['サン', 'セン']",['やま'],['mountain'],あの高い山は何ですか。,What is that high mountain over there?
129,思,2.0,9,132,3.0,['シ'],"['おも.う', 'おもえら.く', 'おぼ.す']",['think'],私は、山へ行こうと思っています。,I am thinking of going to the mountains.
130,話,2.0,13,134,4.0,['ワ'],"['はな.す', 'はなし']","['tale', 'talk']",何の話？,What're you talking about?
131,世,3.0,5,135,3.0,"['セイ', 'セ', 'ソウ']",['よ'],"['generation', 'world', 'society', 'public']",世はこの方を知らなかった。,The world did not recognize him.
132,受,3.0,8,136,2.0,['ジュ'],"['う.ける', '-う.け', 'う.かる']","['accept', 'undergo', 'answer (phone)', 'take', 'get', 'catch', 'receive']",彼女は親切の代償として何も受け取らなかった。,She got nothing in reward for her kindness.
133,区,3.0,4,137,3.0,"['ク', 'オウ', 'コウ']",[],"['ward', 'district']",彼はチェスター区選出の議員に当選した。,He was elected representative for Chester.
134,領,5.0,14,138,2.0,['リョウ'],['えり'],"['jurisdiction', 'dominion', 'territory', 'fief', 'reign']",あの大名は十万石を領している。,"That daimyo holds a fief yielding 100,000 koku of rice."
135,多,2.0,6,139,4.0,['タ'],"['おお.い', 'まさ.に', 'まさ.る']","['many', 'frequent', 'much']",アジアには多民族が住んでいる。,Many peoples live in Asia.
136,県,3.0,9,140,3.0,['ケン'],['か.ける'],['prefecture'],日本には４３県があります。,There are 43 prefectures in Japan.
